,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
0,1398.0,186.54,24.0,5,6.03,6.95,57.24,61.81,18.18
1,436.0,173.92,26.0,5,3.06,7.32,49.14,41.58,0.0
2,918.0,186.54,21.0,5,4.06,4.72,59.64,61.79,46.67
3,493.22,173.92,37.0,8,3.52,4.41,53.44,48.6,0.0
4,530.0,173.92,26.0,12,0.76,5.11,52.57,55.29,57.14
5,800.0,186.54,29.0,14,2.87,11.09,53.27,43.97,26.09
6,1297.88,186.54,25.0,7,2.86,5.59,51.07,45.06,0.0
7,529.0,186.54,26.0,64,7.91,3.61,59.55,55.2,53.19
8,1505.0,186.54,29.0,15,2.37,8.66,57.26,54.61,44.83
9,1309.0,186.54,20.0,5,1.21,5.49,54.68,47.94,0.0
10,330.0,186.54,20.0,15,0.95,5.1,55.41,42.63,40.0
11,1253.0,186.54,22.0,2,0.98,8.17,53.63,49.87,20.0
12,1122.0,186.54,24.0,11,2.44,4.68,58.01,53.18,26.32
13,50.0,183.0,32.0,65,9.44,3.43,60.57,55.31,52.15
14,317.0,186.54,35.0,97,7.32,3.16,60.66,55.83,50.74
15,305.27,178.0,33.0,30,1.5,4.75,57.55,50.61,42.19
16,1821.0,186.54,31.0,24,2.98,4.45,61.03,51.87,46.94
17,337.12,186.54,25.0,5,1.8,6.81,56.47,57.33,37.5
18,11.11,170.0,29.0,29,4.4,2.66,56.31,52.0,65.25
19,440.0,186.54,29.0,62,3.73,3.84,58.08,54.06,50.33
20,374.0,186.54,21.0,7,4.84,4.89,53.35,52.83,37.5
21,-1.0,183.0,39.0,7,1.1,5.15,64.65,65.5,50.0
22,43.0,180.0,28.0,56,6.35,6.38,54.28,50.34,51.27
23,537.0,173.92,37.0,12,1.44,5.27,46.59,43.44,23.53
24,378.0,173.92,27.0,10,1.12,4.53,46.09,38.85,9.09
25,319.0,186.54,24.0,90,12.76,4.59,61.22,56.27,49.77
26,557.0,186.54,22.0,7,1.64,7.13,54.82,49.73,9.09
27,1132.0,203.0,27.0,26,14.05,9.43,64.8,65.65,47.22
