,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.016859984397888182,0.0027524237763066005,0.001871037483215332,0.0001946786333705,entropy,16,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9049586776859504,0.8921161825726142,0.9128630705394191,0.9336099585062241,0.946058091286307,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9233068138952711,0.015173945556566391,1
2,0.016230225563049316,0.0029098616387282553,0.0019015073776245117,0.00021979938632487748,entropy,16,2,3,69,best,"{'criterion': 'entropy', 'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 3, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9049586776859504,0.8921161825726142,0.9128630705394191,0.9336099585062241,0.946058091286307,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9233068138952711,0.015173945556566391,1
4,0.01999673843383789,0.0028142371506630843,0.002520298957824707,0.0005105430837630102,entropy,16,2,4,69,best,"{'criterion': 'entropy', 'max_depth': 16, 'min_samples_leaf': 2, 'min_samples_split': 4, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9049586776859504,0.8921161825726142,0.9128630705394191,0.9336099585062241,0.946058091286307,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9233068138952711,0.015173945556566391,1
360,0.017075324058532716,0.0030927305072690975,0.0019405364990234375,0.00031533762233716125,entropy,52,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 52, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
100,0.021169042587280272,0.002873030776375618,0.002894878387451172,0.0006981486561944934,entropy,26,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 26, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
264,0.020584583282470703,0.003393474325135569,0.002977895736694336,0.0007343864944963671,entropy,42,2,4,69,best,"{'criterion': 'entropy', 'max_depth': 42, 'min_samples_leaf': 2, 'min_samples_split': 4, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
102,0.019453048706054688,0.004440734706941223,0.0027320384979248047,0.000795329316713388,entropy,26,2,3,69,best,"{'criterion': 'entropy', 'max_depth': 26, 'min_samples_leaf': 2, 'min_samples_split': 3, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
104,0.01921555995941162,0.003183901488746379,0.0025390625,0.0005466097739283981,entropy,26,2,4,69,best,"{'criterion': 'entropy', 'max_depth': 26, 'min_samples_leaf': 2, 'min_samples_split': 4, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
354,0.018600273132324218,0.0031176410166296044,0.002445554733276367,0.0005531069857173534,entropy,51,2,4,69,best,"{'criterion': 'entropy', 'max_depth': 51, 'min_samples_leaf': 2, 'min_samples_split': 4, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
352,0.016894817352294922,0.003690126946582819,0.002268195152282715,0.0006004606089325275,entropy,51,2,3,69,best,"{'criterion': 'entropy', 'max_depth': 51, 'min_samples_leaf': 2, 'min_samples_split': 3, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
350,0.017096424102783205,0.0013155861244590788,0.0024170160293579103,0.00037704034609088537,entropy,51,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 51, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
220,0.01918613910675049,0.004327916344377611,0.002729940414428711,0.0007724535594378463,entropy,38,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 38, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
174,0.018720340728759766,0.0029787032416574624,0.002747631072998047,0.0007021686228585461,entropy,33,2,4,69,best,"{'criterion': 'entropy', 'max_depth': 33, 'min_samples_leaf': 2, 'min_samples_split': 4, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
110,0.020450401306152343,0.0025204145631151486,0.002940201759338379,0.00048591804470797447,entropy,27,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
270,0.01934666633605957,0.0045499556005474924,0.0027227878570556642,0.0008292545642559748,entropy,43,2,2,69,best,"{'criterion': 'entropy', 'max_depth': 43, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
112,0.018110179901123048,0.0011176289230146528,0.0024412870407104492,0.00017217919774516793,entropy,27,2,3,69,best,"{'criterion': 'entropy', 'max_depth': 27, 'min_samples_leaf': 2, 'min_samples_split': 3, 'random_state': 69, 'splitter': 'best'}",0.9256198347107438,0.9090909090909091,0.8879668049792531,0.9087136929460581,0.9253112033195021,0.941908713692946,0.9294605809128631,0.9377593360995851,0.9253112033195021,0.9253112033195021,0.9216453482390865,0.014988463551021217,4
