,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.010378789901733399,0.006343884161847927,0.015677118301391603,0.0017000483257761682,auto,5,manhattan,-1,2,distance,"{'algorithm': 'auto', 'leaf_size': 5, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
87,0.007197952270507813,0.0003345779017118935,0.016314983367919922,0.0016728716490055145,kd_tree,12,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 12, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
86,0.00695185661315918,0.0006637050207950075,0.016596364974975585,0.0023318006714563486,kd_tree,11,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 11, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
85,0.0074101448059082035,0.00016895832331827746,0.016246795654296875,0.0011078441239697407,kd_tree,10,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 10, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
84,0.006276607513427734,0.0014056013140143946,0.014458656311035156,0.0011998573831358676,kd_tree,9,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 9, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
83,0.006108236312866211,0.0009442156990556881,0.014695358276367188,0.0027367743015719297,kd_tree,8,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 8, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
82,0.007237434387207031,0.0008208966273157203,0.016436386108398437,0.004082042296362006,kd_tree,7,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 7, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
81,0.0071178913116455075,0.0007958232547339735,0.019814014434814453,0.0035450054660651413,kd_tree,6,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 6, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
80,0.00778493881225586,0.0005037728858599917,0.024661970138549805,0.0049575547931550975,kd_tree,5,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 5, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
79,0.006573295593261719,0.000628943721648205,0.023561906814575196,0.004884636988862427,ball_tree,44,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 44, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
78,0.0054457664489746095,0.0005915197793637973,0.02013568878173828,0.00241956292165913,ball_tree,43,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 43, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
77,0.0070934295654296875,0.0025624815572309477,0.02719259262084961,0.005078507057132027,ball_tree,42,manhattan,-1,2,distance,"{'algorithm': 'ball_tree', 'leaf_size': 42, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
