,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
93,12.695312643051148,3.658364520772212,0.01484217643737793,0.004978165742061021,tanh,0.000253267048395,1022,True,"(100, 100)",invscaling,0.0030938111528053445,5000,50,69,adam,0.0002430441118397048,0.2,"{'activation': 'tanh', 'alpha': 0.000253267048395, 'batch_size': 1022, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0030938111528053445, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0002430441118397048, 'validation_fraction': 0.2}",0.8281573498964804,0.855072463768116,0.8858921161825726,0.8651452282157677,0.8692946058091287,0.860712352774413,0.019073345262469794,1
54,14.383766984939575,4.669312801815198,0.013241195678710937,0.006596144444532277,tanh,0.000804679470595481,1586,True,"(100, 100)",adaptive,0.0017288839591022018,5000,50,69,adam,0.0005180767472996135,0.2,"{'activation': 'tanh', 'alpha': 0.000804679470595481, 'batch_size': 1586, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0017288839591022018, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005180767472996135, 'validation_fraction': 0.2}",0.8509316770186336,0.8467908902691511,0.8547717842323651,0.8630705394190872,0.8568464730290456,0.8544822727936564,0.005499012252241686,2
7,12.90482301712036,3.3404662844078925,0.014670372009277344,0.005517241712788563,tanh,0.0005134256060638983,1949,True,"(100, 100)",adaptive,0.002956902225622772,5000,50,69,adam,0.0004004307425506768,0.2,"{'activation': 'tanh', 'alpha': 0.0005134256060638983, 'batch_size': 1949, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.002956902225622772, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0004004307425506768, 'validation_fraction': 0.2}",0.855072463768116,0.8343685300207039,0.8713692946058091,0.8485477178423236,0.8609958506224067,0.8540707713718719,0.012384518165095304,3
13,9.094403839111328,3.1842352165287964,0.006531429290771484,0.003804923355508208,logistic,0.0003917038826592633,1780,True,"(100, 100)",adaptive,0.0033322756615950075,5000,50,69,adam,0.0005713300753892496,0.2,"{'activation': 'logistic', 'alpha': 0.0003917038826592633, 'batch_size': 1780, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0033322756615950075, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005713300753892496, 'validation_fraction': 0.2}",0.8592132505175983,0.8302277432712215,0.8713692946058091,0.8402489626556017,0.8692946058091287,0.8540707713718719,0.016229488704268352,3
34,14.091717958450317,3.441415786407024,0.011872673034667968,0.004379883894412214,tanh,0.0005598835049493939,1904,True,"(100, 100)",adaptive,0.004110174665313646,5000,50,69,adam,0.0003159811668290129,0.2,"{'activation': 'tanh', 'alpha': 0.0005598835049493939, 'batch_size': 1904, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.004110174665313646, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003159811668290129, 'validation_fraction': 0.2}",0.8530020703933747,0.8385093167701864,0.8858921161825726,0.8360995850622407,0.8547717842323651,0.8536549745281479,0.01776788956512881,5
56,10.111719846725464,3.0946079869811514,0.0070511817932128905,0.0037060475760170683,logistic,0.00010773201268794908,2287,True,"(100, 100)",adaptive,0.002361279258417348,5000,50,69,adam,0.0005676030890050075,0.2,"{'activation': 'logistic', 'alpha': 0.00010773201268794908, 'batch_size': 2287, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.002361279258417348, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005676030890050075, 'validation_fraction': 0.2}",0.8322981366459627,0.8405797101449275,0.8775933609958506,0.8443983402489627,0.8692946058091287,0.8528328307689664,0.017475852784193148,6
33,9.539603519439698,4.18517439227274,0.008202791213989258,0.004912986513363022,logistic,0.0001766933861278832,1045,True,"(100, 100)",adaptive,0.005214660822173247,5000,50,69,adam,0.00042850822455706616,0.2,"{'activation': 'logistic', 'alpha': 0.0001766933861278832, 'batch_size': 1045, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.005214660822173247, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00042850822455706616, 'validation_fraction': 0.2}",0.8467908902691511,0.84472049689441,0.8423236514522822,0.8568464730290456,0.8734439834024896,0.8528250990094758,0.011434041227663724,7
83,8.357682609558106,3.065193983742082,0.004582738876342774,0.00038802940100744136,logistic,0.0008754052156283587,1760,True,"(100, 100)",invscaling,0.004037181606070052,5000,50,69,adam,0.00021911728843115478,0.2,"{'activation': 'logistic', 'alpha': 0.0008754052156283587, 'batch_size': 1760, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.004037181606070052, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00021911728843115478, 'validation_fraction': 0.2}",0.855072463768116,0.8322981366459627,0.8443983402489627,0.8423236514522822,0.8858921161825726,0.8519969416595792,0.01842658893002593,8
61,13.92787570953369,4.855218122807873,0.011618280410766601,0.0039043472624985857,tanh,0.0009883502327958744,2071,True,"(100, 100)",invscaling,0.005987625296630064,5000,50,69,adam,0.0005023871628649936,0.2,"{'activation': 'tanh', 'alpha': 0.0009883502327958744, 'batch_size': 2071, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.005987625296630064, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005023871628649936, 'validation_fraction': 0.2}",0.8281573498964804,0.8343685300207039,0.8755186721991701,0.8464730290456431,0.8734439834024896,0.8515923129128975,0.019606271587904248,9
86,13.455500888824464,2.671718896851898,0.016156816482543947,0.006814962811671447,tanh,0.00034613633581406794,1103,True,"(100, 100)",invscaling,0.002724274885913551,5000,50,69,adam,0.00018000329942614187,0.2,"{'activation': 'tanh', 'alpha': 0.00034613633581406794, 'batch_size': 1103, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.002724274885913551, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00018000329942614187, 'validation_fraction': 0.2}",0.8364389233954451,0.8364389233954451,0.8796680497925311,0.8402489626556017,0.8630705394190872,0.851173079731622,0.01736110552675357,10
