,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1285,0.4474423170089722,0.04041736680620416,0.025255823135375978,0.010990184318998905,69,56,11,3,,entropy,False,"{'random_state': 69, 'n_estimators': 56, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9545454545454546,0.9421487603305785,0.9543568464730291,0.941908713692946,0.946058091286307,0.983402489626556,0.9543568464730291,0.9585062240663901,0.950207468879668,0.966804979253112,0.955229587462707,0.011825064837085394,1
127,0.46596250534057615,0.0987158246568219,0.025391983985900878,0.013439166346665695,69,53,5,2,,entropy,True,"{'random_state': 69, 'n_estimators': 53, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}",0.9462809917355371,0.9338842975206612,0.9543568464730291,0.9336099585062241,0.9336099585062241,0.979253112033195,0.946058091286307,0.9543568464730291,0.9336099585062241,0.9585062240663901,0.9473526285106821,0.01411015517112671,2
303,0.48558051586151124,0.04961201507626602,0.02377657890319824,0.008139070352865868,69,73,2,3,,entropy,True,"{'random_state': 69, 'n_estimators': 73, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}",0.9545454545454546,0.9256198347107438,0.9543568464730291,0.921161825726141,0.9336099585062241,0.966804979253112,0.950207468879668,0.946058091286307,0.9377593360995851,0.946058091286307,0.9436181886766573,0.013380567394793607,3
129,0.23706469535827637,0.018556407023883115,0.012109756469726562,0.005455644431212506,69,29,15,2,,gini,False,"{'random_state': 69, 'n_estimators': 29, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9545454545454546,0.9380165289256198,0.946058091286307,0.9128630705394191,0.9336099585062241,0.966804979253112,0.941908713692946,0.941908713692946,0.9294605809128631,0.9585062240663901,0.9423682315421281,0.01467214439852682,4
1176,0.5585626125335693,0.03335777828563112,0.022181773185729982,0.006321666691137958,69,85,3,2,10,gini,False,"{'random_state': 69, 'n_estimators': 85, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}",0.9421487603305785,0.9132231404958677,0.9377593360995851,0.9128630705394191,0.9377593360995851,0.9626556016597511,0.9543568464730291,0.9336099585062241,0.9377593360995851,0.9626556016597511,0.9394790987963375,0.01656466994536229,5
157,0.12286853790283203,0.01602655377912766,0.009949064254760743,0.006012523765726944,69,10,2,4,,gini,False,"{'random_state': 69, 'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9380165289256198,0.9214876033057852,0.9336099585062241,0.9087136929460581,0.9377593360995851,0.966804979253112,0.946058091286307,0.946058091286307,0.950207468879668,0.941908713692946,0.9390624464181613,0.015040886268688707,6
2726,0.397802734375,0.037915456330497976,0.016880726814270018,0.006631686614157121,69,82,2,5,,gini,False,"{'random_state': 69, 'n_estimators': 82, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9421487603305785,0.9132231404958677,0.946058091286307,0.91701244813278,0.9294605809128631,0.966804979253112,0.946058091286307,0.9294605809128631,0.9294605809128631,0.9626556016597511,0.9382342855183292,0.01690351929000903,7
2168,0.220405650138855,0.0575009374183642,0.015096807479858398,0.007761548365342098,69,20,11,5,,gini,False,"{'random_state': 69, 'n_estimators': 20, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9504132231404959,0.9173553719008265,0.941908713692946,0.9087136929460581,0.9128630705394191,0.946058091286307,0.950207468879668,0.946058091286307,0.9253112033195021,0.950207468879668,0.9349096395871198,0.016057809234211944,8
1370,0.5456410646438599,0.037259604682568705,0.023255181312561036,0.006939173287080522,69,75,20,3,,entropy,False,"{'random_state': 69, 'n_estimators': 75, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9338842975206612,0.9173553719008265,0.9377593360995851,0.9087136929460581,0.921161825726141,0.950207468879668,0.941908713692946,0.946058091286307,0.9294605809128631,0.9543568464730291,0.9340866225438086,0.014145548901335946,9
4158,0.5060559511184692,0.08459487840122172,0.016021347045898436,0.005185821322791138,69,66,11,6,,entropy,False,"{'random_state': 69, 'n_estimators': 66, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9338842975206612,0.9049586776859504,0.9377593360995851,0.9087136929460581,0.9294605809128631,0.9585062240663901,0.941908713692946,0.9294605809128631,0.9294605809128631,0.9543568464730291,0.9328469531223209,0.016195584261360984,10
