,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
128,0.6589452266693115,0.07855301592940946,0.0336669921875,0.002848462653943213,600,0.1,rbf,10000,True,69,"{'C': 600, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9875776397515528,0.9772256728778468,0.9813278008298755,0.975103734439834,0.975103734439834,0.9792677164677887,0.004735952010788138,1
104,0.6024333953857421,0.026139974908516724,0.030371713638305663,0.0011456485970732426,300,0.1,rbf,10000,True,69,"{'C': 300, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9875776397515528,0.9772256728778468,0.9813278008298755,0.975103734439834,0.975103734439834,0.9792677164677887,0.004735952010788138,1
152,0.5950128555297851,0.011772348228874184,0.029763269424438476,0.00031378484316818084,1000,0.1,rbf,10000,True,69,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9875776397515528,0.9772256728778468,0.9813278008298755,0.975103734439834,0.975103734439834,0.9792677164677887,0.004735952010788138,1
80,0.6340904712677002,0.04940217611767641,0.03223662376403809,0.003473056106232664,100,0.1,rbf,10000,True,69,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9875776397515528,0.9772256728778468,0.9813278008298755,0.975103734439834,0.975103734439834,0.9792677164677887,0.004735952010788138,1
56,0.701245641708374,0.0431774528758784,0.03464770317077637,0.0013384340061604937,1,0.1,rbf,10000,True,69,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9875776397515528,0.9772256728778468,0.9813278008298755,0.975103734439834,0.975103734439834,0.9792677164677887,0.004735952010788138,1
52,0.7837791442871094,0.007555519608296631,0.038252973556518556,0.000571223980359363,1,1,rbf,10000,True,69,"{'C': 1, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.989648033126294,0.979296066252588,0.9813278008298755,0.975103734439834,0.9647302904564315,0.9780211850210045,0.008159681652439152,6
124,1.0671348094940185,0.1097910076011703,0.04625988006591797,0.010950384554833496,600,1,rbf,10000,True,69,"{'C': 600, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.989648033126294,0.979296066252588,0.9813278008298755,0.975103734439834,0.9647302904564315,0.9780211850210045,0.008159681652439152,6
100,0.6753922939300537,0.014714989196105031,0.03389019966125488,0.0018128494917836323,300,1,rbf,10000,True,69,"{'C': 300, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.989648033126294,0.979296066252588,0.9813278008298755,0.975103734439834,0.9647302904564315,0.9780211850210045,0.008159681652439152,6
148,0.7498026847839355,0.010503549802111052,0.035607767105102536,0.0014696170678696022,1000,1,rbf,10000,True,69,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.989648033126294,0.979296066252588,0.9813278008298755,0.975103734439834,0.9647302904564315,0.9780211850210045,0.008159681652439152,6
76,0.6729012966156006,0.011865337556086014,0.03301148414611817,0.0017983908421256411,100,1,rbf,10000,True,69,"{'C': 100, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.989648033126294,0.979296066252588,0.9813278008298755,0.975103734439834,0.9647302904564315,0.9780211850210045,0.008159681652439152,6
